ORTHOMCL420	2077725)]_AMEIU(
ORTHOMCL15138	augustus-utg000412l_pilon-processed-gene-3.13-mRNA-1_PANGA(
ORTHOMCL15139	augustus-utg000457l_pilon-processed-gene-4.0-mRNA-1_PANGA(
ORTHOMCL15140	augustus-utg000457l_pilon-processed-gene-4.18-mRNA-1_PANGA(
ORTHOMCL15141	augustus-utg000457l_pilon-processed-gene-4.20-mRNA-1_PANGA(
ORTHOMCL15142	augustus-utg000493l_pilon-processed-gene-0.20-mRNA-1_PANGA(
ORTHOMCL15143	augustus-utg000494l_pilon-processed-gene-2.17-mRNA-1_PANGA(
ORTHOMCL15144	augustus-utg000517l_pilon-processed-gene-0.3-mRNA-1_PANGA(
ORTHOMCL15145	augustus-utg000531l_pilon-processed-gene-0.4-mRNA-1_PANGA(
ORTHOMCL15146	augustus-utg000545l_pilon-processed-gene-0.4-mRNA-1_PANGA(
ORTHOMCL15147	augustus-utg000546l_pilon-processed-gene-2.24-mRNA-1_PANGA(
ORTHOMCL15148	augustus-utg000611l_pilon-processed-gene-0.18-mRNA-1_PANGA(
ORTHOMCL15149	lcl|CM022752.1_cds_KAF4093399.1_154_AMEIU(
ORTHOMCL15150	lcl|CM022752.1_cds_KAF4093472.1_225_AMEIU(
ORTHOMCL15151	lcl|CM022752.1_cds_KAF4093534.1_293_AMEIU(
ORTHOMCL15152	lcl|CM022752.1_cds_KAF4093535.1_294_AMEIU(
ORTHOMCL15153	lcl|CM022752.1_cds_KAF4093657.1_402_AMEIU(
ORTHOMCL15154	lcl|CM022752.1_cds_KAF4093685.1_436_AMEIU(
ORTHOMCL15155	lcl|CM022752.1_cds_KAF4093730.1_499_AMEIU(
ORTHOMCL15156	lcl|CM022752.1_cds_KAF4093764.1_515_AMEIU(
ORTHOMCL15157	lcl|CM022752.1_cds_KAF4093877.1_663_AMEIU(
ORTHOMCL15158	lcl|CM022752.1_cds_KAF4093900.1_648_AMEIU(
ORTHOMCL15159	lcl|CM022752.1_cds_KAF4093927.1_676_AMEIU(
ORTHOMCL15160	lcl|CM022752.1_cds_KAF4093975.1_709_AMEIU(
ORTHOMCL15161	lcl|CM022752.1_cds_KAF4093986.1_765_AMEIU(
ORTHOMCL15162	lcl|CM022752.1_cds_KAF4094001.1_738_AMEIU(
ORTHOMCL15163	lcl|CM022753.1_cds_KAF4092364.1_1652_AMEIU(
ORTHOMCL15164	lcl|CM022753.1_cds_KAF4092391.1_1676_AMEIU(
ORTHOMCL15165	lcl|CM022753.1_cds_KAF4092599.1_1890_AMEIU(
ORTHOMCL15166	lcl|CM022753.1_cds_KAF4092618.1_1911_AMEIU(
ORTHOMCL15167	lcl|CM022753.1_cds_KAF4092632.1_1951_AMEIU(
ORTHOMCL15168	lcl|CM022753.1_cds_KAF4092646.1_1921_AMEIU(
ORTHOMCL15169	lcl|CM022753.1_cds_KAF4092654.1_1937_AMEIU(
ORTHOMCL15170	lcl|CM022753.1_cds_KAF4092774.1_2026_AMEIU(
ORTHOMCL15171	lcl|CM022753.1_cds_KAF4092844.1_2159_AMEIU(
ORTHOMCL15172	lcl|CM022753.1_cds_KAF4092940.1_2172_AMEIU(
ORTHOMCL15173	lcl|CM022754.1_cds_KAF4090892.1_2578_AMEIU(
ORTHOMCL15174	lcl|CM022754.1_cds_KAF4090987.1_2674_AMEIU(
ORTHOMCL15175	lcl|CM022754.1_cds_KAF4091015.1_2704_AMEIU(
ORTHOMCL15176	lcl|CM022754.1_cds_KAF4091132.1_2812_AMEIU(
ORTHOMCL15177	lcl|CM022754.1_cds_KAF4091145.1_2834_AMEIU(
ORTHOMCL15178	lcl|CM022754.1_cds_KAF4091272.1_2957_AMEIU(
ORTHOMCL15179	lcl|CM022754.1_cds_KAF4091458.1_3147_AMEIU(
ORTHOMCL15180	lcl|CM022754.1_cds_KAF4091461.1_3153_AMEIU(
ORTHOMCL15181	lcl|CM022754.1_cds_KAF4091711.1_3406_AMEIU(
ORTHOMCL15182	lcl|CM022754.1_cds_KAF4091841.1_3537_AMEIU(
ORTHOMCL15183	lcl|CM022755.1_cds_KAF4089903.1_3725_AMEIU(
ORTHOMCL15184	lcl|CM022755.1_cds_KAF4090633.1_4457_AMEIU(
ORTHOMCL15185	lcl|CM022756.1_cds_KAF4088628.1_4688_AMEIU(
ORTHOMCL15186	lcl|CM022756.1_cds_KAF4088670.1_4756_AMEIU(
ORTHOMCL15187	lcl|CM022756.1_cds_KAF4088690.1_4752_AMEIU(
ORTHOMCL15188	lcl|CM022756.1_cds_KAF4088790.1_4855_AMEIU(
ORTHOMCL15189	lcl|CM022756.1_cds_KAF4088852.1_4908_AMEIU(
ORTHOMCL15190	lcl|CM022756.1_cds_KAF4088877.1_4943_AMEIU(
ORTHOMCL15191	lcl|CM022756.1_cds_KAF4089064.1_5136_AMEIU(
ORTHOMCL15192	lcl|CM022756.1_cds_KAF4089159.1_5262_AMEIU(
ORTHOMCL15193	lcl|CM022756.1_cds_KAF4089198.1_5240_AMEIU(
ORTHOMCL15194	lcl|CM022756.1_cds_KAF4089248.1_5303_AMEIU(
ORTHOMCL15195	lcl|CM022756.1_cds_KAF4089278.1_5335_AMEIU(
ORTHOMCL15196	lcl|CM022756.1_cds_KAF4089327.1_5389_AMEIU(
ORTHOMCL15197	lcl|CM022756.1_cds_KAF4089439.1_5543_AMEIU(
ORTHOMCL15198	lcl|CM022756.1_cds_KAF4089487.1_5505_AMEIU(
ORTHOMCL15199	lcl|CM022756.1_cds_KAF4089782.1_5825_AMEIU(
ORTHOMCL15200	lcl|CM022757.1_cds_KAF4087449.1_5877_AMEIU(
ORTHOMCL15201	lcl|CM022757.1_cds_KAF4087744.1_6169_AMEIU(
ORTHOMCL15202	lcl|CM022757.1_cds_KAF4087867.1_6293_AMEIU(
ORTHOMCL15203	lcl|CM022757.1_cds_KAF4088018.1_6439_AMEIU(
ORTHOMCL15204	lcl|CM022757.1_cds_KAF4088098.1_6519_AMEIU(
ORTHOMCL15205	lcl|CM022757.1_cds_KAF4088108.1_6542_AMEIU(
ORTHOMCL15206	lcl|CM022757.1_cds_KAF4088165.1_6619_AMEIU(
ORTHOMCL15207	lcl|CM022757.1_cds_KAF4088282.1_6661_AMEIU(
ORTHOMCL15208	lcl|CM022757.1_cds_KAF4088321.1_6907_AMEIU(
ORTHOMCL15209	lcl|CM022757.1_cds_KAF4088367.1_6813_AMEIU(
ORTHOMCL15210	lcl|CM022757.1_cds_KAF4088390.1_6838_AMEIU(
ORTHOMCL15211	lcl|CM022757.1_cds_KAF4088400.1_6762_AMEIU(
ORTHOMCL15212	lcl|CM022757.1_cds_KAF4088465.1_6871_AMEIU(
ORTHOMCL15213	lcl|CM022757.1_cds_KAF4088550.1_6975_AMEIU(
ORTHOMCL15214	lcl|CM022757.1_cds_KAF4088577.1_6985_AMEIU(
ORTHOMCL15215	lcl|CM022758.1_cds_KAF4086638.1_7138_AMEIU(
ORTHOMCL15216	lcl|CM022758.1_cds_KAF4086708.1_7205_AMEIU(
ORTHOMCL15217	lcl|CM022758.1_cds_KAF4086711.1_7208_AMEIU(
ORTHOMCL15218	lcl|CM022758.1_cds_KAF4086923.1_7425_AMEIU(
ORTHOMCL15219	lcl|CM022758.1_cds_KAF4087002.1_7524_AMEIU(
ORTHOMCL15220	lcl|CM022758.1_cds_KAF4087100.1_7597_AMEIU(
ORTHOMCL15221	lcl|CM022758.1_cds_KAF4087127.1_7667_AMEIU(
ORTHOMCL15222	lcl|CM022758.1_cds_KAF4087186.1_7684_AMEIU(
ORTHOMCL15223	lcl|CM022758.1_cds_KAF4087243.1_7771_AMEIU(
ORTHOMCL15224	lcl|CM022758.1_cds_KAF4087285.1_7783_AMEIU(
ORTHOMCL15225	lcl|CM022759.1_cds_KAF4085582.1_8045_AMEIU(
ORTHOMCL15226	lcl|CM022759.1_cds_KAF4085650.1_8145_AMEIU(
ORTHOMCL15227	lcl|CM022759.1_cds_KAF4085669.1_8110_AMEIU(
ORTHOMCL15228	lcl|CM022759.1_cds_KAF4085760.1_8214_AMEIU(
ORTHOMCL15229	lcl|CM022759.1_cds_KAF4085766.1_8203_AMEIU(
ORTHOMCL15230	lcl|CM022759.1_cds_KAF4086114.1_8568_AMEIU(
ORTHOMCL15231	lcl|CM022759.1_cds_KAF4086140.1_8580_AMEIU(
ORTHOMCL15232	lcl|CM022759.1_cds_KAF4086490.1_8952_AMEIU(
ORTHOMCL15233	lcl|CM022759.1_cds_KAF4086510.1_8956_AMEIU(
ORTHOMCL15234	lcl|CM022759.1_cds_KAF4086511.1_8960_AMEIU(
ORTHOMCL15235	lcl|CM022760.1_cds_KAF4084576.1_9034_AMEIU(
ORTHOMCL15236	lcl|CM022760.1_cds_KAF4084584.1_9022_AMEIU(
ORTHOMCL15237	lcl|CM022760.1_cds_KAF4084628.1_9088_AMEIU(
ORTHOMCL15238	lcl|CM022760.1_cds_KAF4084640.1_9079_AMEIU(
ORTHOMCL15239	lcl|CM022760.1_cds_KAF4084650.1_9098_AMEIU(
ORTHOMCL15240	lcl|CM022760.1_cds_KAF4084903.1_9343_AMEIU(
ORTHOMCL15241	lcl|CM022760.1_cds_KAF4085081.1_9519_AMEIU(
ORTHOMCL15242	lcl|CM022760.1_cds_KAF4085225.1_9660_AMEIU(
ORTHOMCL15243	lcl|CM022760.1_cds_KAF4085465.1_9910_AMEIU(
ORTHOMCL15244	lcl|CM022761.1_cds_KAF4083903.1_10195_AMEIU(
ORTHOMCL15245	lcl|CM022761.1_cds_KAF4084286.1_10586_AMEIU(
ORTHOMCL15246	lcl|CM022761.1_cds_KAF4084387.1_10701_AMEIU(
ORTHOMCL15247	lcl|CM022761.1_cds_KAF4084402.1_10680_AMEIU(
ORTHOMCL15248	lcl|CM022761.1_cds_KAF4084405.1_10686_AMEIU(
ORTHOMCL15249	lcl|CM022762.1_cds_KAF4082950.1_11029_AMEIU(
ORTHOMCL15250	lcl|CM022762.1_cds_KAF4083093.1_11169_AMEIU(
ORTHOMCL15251	lcl|CM022762.1_cds_KAF4083276.1_11350_AMEIU(
ORTHOMCL15252	lcl|CM022762.1_cds_KAF4083418.1_11488_AMEIU(
ORTHOMCL15253	lcl|CM022762.1_cds_KAF4083438.1_11521_AMEIU(
ORTHOMCL15254	lcl|CM022762.1_cds_KAF4083450.1_11515_AMEIU(
ORTHOMCL15255	lcl|CM022762.1_cds_KAF4083505.1_11588_AMEIU(
ORTHOMCL15256	lcl|CM022762.1_cds_KAF4083570.1_11633_AMEIU(
ORTHOMCL15257	lcl|CM022762.1_cds_KAF4083572.1_11636_AMEIU(
ORTHOMCL15258	lcl|CM022763.1_cds_KAF4081881.1_11795_AMEIU(
ORTHOMCL15259	lcl|CM022763.1_cds_KAF4081961.1_11873_AMEIU(
ORTHOMCL15260	lcl|CM022763.1_cds_KAF4082260.1_12167_AMEIU(
ORTHOMCL15261	lcl|CM022763.1_cds_KAF4082261.1_12168_AMEIU(
ORTHOMCL15262	lcl|CM022763.1_cds_KAF4082263.1_12172_AMEIU(
ORTHOMCL15263	lcl|CM022763.1_cds_KAF4082374.1_12288_AMEIU(
ORTHOMCL15264	lcl|CM022763.1_cds_KAF4082515.1_12420_AMEIU(
ORTHOMCL15265	lcl|CM022763.1_cds_KAF4082596.1_12508_AMEIU(
ORTHOMCL15266	lcl|CM022763.1_cds_KAF4082598.1_12511_AMEIU(
ORTHOMCL15267	lcl|CM022763.1_cds_KAF4082669.1_12579_AMEIU(
ORTHOMCL15268	lcl|CM022763.1_cds_KAF4082746.1_12654_AMEIU(
ORTHOMCL15269	lcl|CM022764.1_cds_KAF4081047.1_12765_AMEIU(
ORTHOMCL15270	lcl|CM022764.1_cds_KAF4081237.1_12959_AMEIU(
ORTHOMCL15271	lcl|CM022764.1_cds_KAF4081376.1_13104_AMEIU(
ORTHOMCL15272	lcl|CM022764.1_cds_KAF4081546.1_13296_AMEIU(
ORTHOMCL15273	lcl|CM022764.1_cds_KAF4081674.1_13394_AMEIU(
ORTHOMCL15274	lcl|CM022764.1_cds_KAF4081714.1_13440_AMEIU(
ORTHOMCL15275	lcl|CM022764.1_cds_KAF4081723.1_13453_AMEIU(
ORTHOMCL15276	lcl|CM022764.1_cds_KAF4081726.1_13459_AMEIU(
ORTHOMCL15277	lcl|CM022764.1_cds_KAF4081738.1_13483_AMEIU(
ORTHOMCL15278	lcl|CM022764.1_cds_KAF4081763.1_13465_AMEIU(
ORTHOMCL15279	lcl|CM022764.1_cds_KAF4081771.1_13498_AMEIU(
ORTHOMCL15280	lcl|CM022764.1_cds_KAF4081790.1_13502_AMEIU(
ORTHOMCL15281	lcl|CM022765.1_cds_KAF4080078.1_13609_AMEIU(
ORTHOMCL15282	lcl|CM022765.1_cds_KAF4080101.1_13640_AMEIU(
ORTHOMCL15283	lcl|CM022765.1_cds_KAF4080106.1_13639_AMEIU(
ORTHOMCL15284	lcl|CM022765.1_cds_KAF4080107.1_13641_AMEIU(
ORTHOMCL15285	lcl|CM022765.1_cds_KAF4080120.1_13660_AMEIU(
ORTHOMCL15286	lcl|CM022765.1_cds_KAF4080130.1_13662_AMEIU(
ORTHOMCL15287	lcl|CM022765.1_cds_KAF4080146.1_13677_AMEIU(
ORTHOMCL15288	lcl|CM022765.1_cds_KAF4080166.1_13703_AMEIU(
ORTHOMCL15289	lcl|CM022765.1_cds_KAF4080203.1_13729_AMEIU(
ORTHOMCL15290	lcl|CM022765.1_cds_KAF4080244.1_13782_AMEIU(
ORTHOMCL15291	lcl|CM022765.1_cds_KAF4080352.1_13875_AMEIU(
ORTHOMCL15292	lcl|CM022765.1_cds_KAF4080700.1_14233_AMEIU(
ORTHOMCL15293	lcl|CM022765.1_cds_KAF4080729.1_14275_AMEIU(
ORTHOMCL15294	lcl|CM022765.1_cds_KAF4080763.1_14303_AMEIU(
ORTHOMCL15295	lcl|CM022765.1_cds_KAF4080767.1_14290_AMEIU(
ORTHOMCL15296	lcl|CM022765.1_cds_KAF4080856.1_14403_AMEIU(
ORTHOMCL15297	lcl|CM022765.1_cds_KAF4080869.1_14404_AMEIU(
ORTHOMCL15298	lcl|CM022766.1_cds_KAF4079407.1_14509_AMEIU(
ORTHOMCL15299	lcl|CM022766.1_cds_KAF4079417.1_14515_AMEIU(
ORTHOMCL15300	lcl|CM022766.1_cds_KAF4079669.1_14770_AMEIU(
ORTHOMCL15301	lcl|CM022767.1_cds_KAF4078760.1_15150_AMEIU(
ORTHOMCL15302	lcl|CM022767.1_cds_KAF4079025.1_15405_AMEIU(
ORTHOMCL15303	lcl|CM022767.1_cds_KAF4079173.1_15562_AMEIU(
ORTHOMCL15304	lcl|CM022767.1_cds_KAF4079350.1_15741_AMEIU(
ORTHOMCL15305	lcl|CM022768.1_cds_KAF4077824.1_15768_AMEIU(
ORTHOMCL15306	lcl|CM022768.1_cds_KAF4077922.1_15866_AMEIU(
ORTHOMCL15307	lcl|CM022768.1_cds_KAF4077988.1_15926_AMEIU(
ORTHOMCL15308	lcl|CM022768.1_cds_KAF4077989.1_15927_AMEIU(
ORTHOMCL15309	lcl|CM022768.1_cds_KAF4078331.1_16273_AMEIU(
ORTHOMCL15310	lcl|CM022768.1_cds_KAF4078389.1_16343_AMEIU(
ORTHOMCL15311	lcl|CM022768.1_cds_KAF4078400.1_16341_AMEIU(
ORTHOMCL15312	lcl|CM022768.1_cds_KAF4078426.1_16380_AMEIU(
ORTHOMCL15313	lcl|CM022768.1_cds_KAF4078440.1_16392_AMEIU(
ORTHOMCL15314	lcl|CM022768.1_cds_KAF4078514.1_16462_AMEIU(
ORTHOMCL15315	lcl|CM022769.1_cds_KAF4077047.1_16776_AMEIU(
ORTHOMCL15316	lcl|CM022769.1_cds_KAF4077160.1_16896_AMEIU(
ORTHOMCL15317	lcl|CM022769.1_cds_KAF4077279.1_17015_AMEIU(
ORTHOMCL15318	lcl|CM022769.1_cds_KAF4077410.1_17131_AMEIU(
ORTHOMCL15319	lcl|CM022769.1_cds_KAF4077470.1_17198_AMEIU(
ORTHOMCL15320	lcl|CM022769.1_cds_KAF4077636.1_17372_AMEIU(
ORTHOMCL15321	lcl|CM022769.1_cds_KAF4077739.1_17469_AMEIU(
ORTHOMCL15322	lcl|CM022769.1_cds_KAF4077754.1_17496_AMEIU(
ORTHOMCL15323	lcl|CM022770.1_cds_KAF4076302.1_17606_AMEIU(
ORTHOMCL15324	lcl|CM022770.1_cds_KAF4076475.1_17784_AMEIU(
ORTHOMCL15325	lcl|CM022770.1_cds_KAF4076500.1_17799_AMEIU(
ORTHOMCL15326	lcl|CM022770.1_cds_KAF4076535.1_17835_AMEIU(
ORTHOMCL15327	lcl|CM022770.1_cds_KAF4076714.1_18018_AMEIU(
ORTHOMCL15328	lcl|CM022770.1_cds_KAF4076755.1_18058_AMEIU(
ORTHOMCL15329	lcl|CM022770.1_cds_KAF4076786.1_18089_AMEIU(
ORTHOMCL15330	lcl|CM022770.1_cds_KAF4076883.1_18197_AMEIU(
ORTHOMCL15331	lcl|CM022771.1_cds_KAF4075614.1_18246_AMEIU(
ORTHOMCL15332	lcl|CM022771.1_cds_KAF4075656.1_18294_AMEIU(
ORTHOMCL15333	lcl|CM022771.1_cds_KAF4075914.1_18552_AMEIU(
ORTHOMCL15334	lcl|CM022771.1_cds_KAF4076014.1_18647_AMEIU(
ORTHOMCL15335	lcl|CM022771.1_cds_KAF4076027.1_18664_AMEIU(
ORTHOMCL15336	lcl|CM022771.1_cds_KAF4076057.1_18687_AMEIU(
ORTHOMCL15337	lcl|CM022771.1_cds_KAF4076058.1_18692_AMEIU(
ORTHOMCL15338	lcl|CM022771.1_cds_KAF4076180.1_18814_AMEIU(
ORTHOMCL15339	lcl|CM022771.1_cds_KAF4076231.1_18866_AMEIU(
ORTHOMCL15340	lcl|CM022772.1_cds_KAF4074900.1_18920_AMEIU(
ORTHOMCL15341	lcl|CM022772.1_cds_KAF4074942.1_18972_AMEIU(
ORTHOMCL15342	lcl|CM022772.1_cds_KAF4075128.1_19153_AMEIU(
ORTHOMCL15343	lcl|CM022772.1_cds_KAF4075206.1_19245_AMEIU(
ORTHOMCL15344	lcl|CM022772.1_cds_KAF4075217.1_19249_AMEIU(
ORTHOMCL15345	lcl|CM022772.1_cds_KAF4075318.1_19344_AMEIU(
ORTHOMCL15346	lcl|CM022772.1_cds_KAF4075474.1_19506_AMEIU(
ORTHOMCL15347	lcl|CM022772.1_cds_KAF4075489.1_19528_AMEIU(
ORTHOMCL15348	lcl|CM022772.1_cds_KAF4075490.1_19532_AMEIU(
ORTHOMCL15349	lcl|CM022772.1_cds_KAF4075528.1_19540_AMEIU(
ORTHOMCL15350	lcl|CM022772.1_cds_KAF4075557.1_19574_AMEIU(
ORTHOMCL15351	lcl|CM022772.1_cds_KAF4075567.1_19599_AMEIU(
ORTHOMCL15352	lcl|CM022773.1_cds_KAF4074149.1_19633_AMEIU(
ORTHOMCL15353	lcl|CM022773.1_cds_KAF4074195.1_19684_AMEIU(
ORTHOMCL15354	lcl|CM022773.1_cds_KAF4074268.1_19754_AMEIU(
ORTHOMCL15355	lcl|CM022773.1_cds_KAF4074361.1_19847_AMEIU(
ORTHOMCL15356	lcl|CM022773.1_cds_KAF4074407.1_19892_AMEIU(
ORTHOMCL15357	lcl|CM022773.1_cds_KAF4074426.1_19913_AMEIU(
ORTHOMCL15358	lcl|CM022773.1_cds_KAF4074443.1_19927_AMEIU(
ORTHOMCL15359	lcl|CM022773.1_cds_KAF4074701.1_20203_AMEIU(
ORTHOMCL15360	lcl|CM022773.1_cds_KAF4074729.1_20221_AMEIU(
ORTHOMCL15361	lcl|CM022773.1_cds_KAF4074763.1_20264_AMEIU(
ORTHOMCL15362	lcl|CM022774.1_cds_KAF4073671.1_20524_AMEIU(
ORTHOMCL15363	lcl|CM022774.1_cds_KAF4073941.1_20794_AMEIU(
ORTHOMCL15364	lcl|CM022774.1_cds_KAF4073968.1_20816_AMEIU(
ORTHOMCL15365	lcl|CM022775.1_cds_KAF4072807.1_21029_AMEIU(
ORTHOMCL15366	lcl|CM022775.1_cds_KAF4072869.1_21097_AMEIU(
ORTHOMCL15367	lcl|CM022775.1_cds_KAF4072995.1_21213_AMEIU(
ORTHOMCL15368	lcl|CM022775.1_cds_KAF4073062.1_21297_AMEIU(
ORTHOMCL15369	lcl|CM022775.1_cds_KAF4073233.1_21469_AMEIU(
ORTHOMCL15370	lcl|CM022775.1_cds_KAF4073295.1_21532_AMEIU(
ORTHOMCL15371	lcl|CM022775.1_cds_KAF4073329.1_21543_AMEIU(
ORTHOMCL15372	lcl|CM022775.1_cds_KAF4073374.1_21597_AMEIU(
ORTHOMCL15373	lcl|CM022775.1_cds_KAF4073407.1_21632_AMEIU(
ORTHOMCL15374	lcl|CM022775.1_cds_KAF4073443.1_21662_AMEIU(
ORTHOMCL15375	lcl|CM022775.1_cds_KAF4073447.1_21674_AMEIU(
ORTHOMCL15376	lcl|CM022776.1_cds_KAF4072294.1_21874_AMEIU(
ORTHOMCL15377	lcl|CM022776.1_cds_KAF4072419.1_22003_AMEIU(
ORTHOMCL15378	lcl|CM022776.1_cds_KAF4072422.1_22006_AMEIU(
ORTHOMCL15379	lcl|CM022776.1_cds_KAF4072426.1_22011_AMEIU(
ORTHOMCL15380	lcl|CM022776.1_cds_KAF4072633.1_22215_AMEIU(
ORTHOMCL15381	lcl|CM022776.1_cds_KAF4072651.1_22213_AMEIU(
ORTHOMCL15382	lcl|CM022777.1_cds_KAF4071992.1_22564_AMEIU(
ORTHOMCL15383	lcl|CM022778.1_cds_KAF4071423.1_22877_AMEIU(
ORTHOMCL15384	lcl|CM022778.1_cds_KAF4071479.1_22937_AMEIU(
ORTHOMCL15385	lcl|CM022778.1_cds_KAF4071605.1_23059_AMEIU(
ORTHOMCL15386	lcl|CM022778.1_cds_KAF4071684.1_23136_AMEIU(
ORTHOMCL15387	lcl|CM022778.1_cds_KAF4071702.1_23157_AMEIU(
ORTHOMCL15388	lcl|CM022779.1_cds_KAF4070738.1_23222_AMEIU(
ORTHOMCL15389	lcl|CM022779.1_cds_KAF4070902.1_23383_AMEIU(
ORTHOMCL15390	lcl|CM022779.1_cds_KAF4070983.1_23458_AMEIU(
ORTHOMCL15391	lcl|CM022779.1_cds_KAF4071202.1_23672_AMEIU(
ORTHOMCL15392	lcl|CM022780.1_cds_KAF4070292.1_23739_AMEIU(
ORTHOMCL15393	lcl|CM022780.1_cds_KAF4070300.1_23758_AMEIU(
ORTHOMCL15394	lcl|CM022780.1_cds_KAF4070301.1_23759_AMEIU(
ORTHOMCL15395	lcl|CM022780.1_cds_KAF4070459.1_23896_AMEIU(
ORTHOMCL15396	lcl|CM022780.1_cds_KAF4070552.1_24003_AMEIU(
ORTHOMCL15397	lcl|CM022780.1_cds_KAF4070627.1_24069_AMEIU(
ORTHOMCL15398	lcl|CM022780.1_cds_KAF4070665.1_24114_AMEIU(
ORTHOMCL15399	lcl|CP034975.1_cds_TNN03487.1_516_TAKIF(
ORTHOMCL15400	lcl|CP034976.1_cds_TNN02616.1_10102_TAKIF(
ORTHOMCL15401	lcl|CP034977.1_cds_TNN01345.1_10726_TAKIF(
ORTHOMCL15402	lcl|CP034978.1_cds_TNN00153.1_11398_TAKIF(
ORTHOMCL15403	lcl|CP034980.1_cds_TNM99201.1_13764_TAKIF(
ORTHOMCL15404	lcl|CP034982.1_cds_TNM97347.1_15502_TAKIF(
ORTHOMCL15405	lcl|CP034986.1_cds_TNM94172.1_2348_TAKIF(
ORTHOMCL15406	lcl|CP034987.1_cds_TNM92650.1_17245_TAKIF(
ORTHOMCL15407	lcl|CP034991.1_cds_TNM89546.1_3780_TAKIF(
ORTHOMCL15408	lcl|CP034996.1_cds_TNM84949.1_9126_TAKIF(
ORTHOMCL15409	lcl|VCAZ01000004.1_cds_TSK17971.1_11898_BAGAR(
ORTHOMCL15410	lcl|VCAZ01000005.1_cds_TSK20029.1_13065_BAGAR(
ORTHOMCL15411	lcl|VCAZ01000005.1_cds_TSK20154.1_13190_BAGAR(
ORTHOMCL15412	lcl|VCAZ01000015.1_cds_TSK53719.1_1178_BAGAR(
ORTHOMCL15413	lcl|VCAZ01000016.1_cds_TSK58003.1_2356_BAGAR(
ORTHOMCL15414	lcl|VCAZ01000016.1_cds_TSK58024.1_2377_BAGAR(
ORTHOMCL15415	lcl|VCAZ01000017.1_cds_TSK62638.1_4682_BAGAR(
ORTHOMCL15416	lcl|VCAZ01000031.1_cds_TSL40950.1_9796_BAGAR(
ORTHOMCL15417	lcl|VCAZ01000032.1_cds_TSL47699.1_10086_BAGAR(
ORTHOMCL15418	lcl|VCAZ01000038.1_cds_TSL89884.1_10216_BAGAR(
ORTHOMCL15419	lcl|VCAZ01000040.1_cds_TSM04850.1_10915_BAGAR(
ORTHOMCL15420	lcl|VCAZ01000043.1_cds_TSM28193.1_9701_BAGAR(
ORTHOMCL15421	lcl|VCAZ01000048.1_cds_TSM68859.1_11591_BAGAR(
ORTHOMCL15422	lcl|VCAZ01000060.1_cds_TSN76526.1_12346_BAGAR(
ORTHOMCL15423	lcl|VCAZ01000077.1_cds_TSP57648.1_14863_BAGAR(
ORTHOMCL15424	lcl|VCAZ01000077.1_cds_TSP57650.1_14865_BAGAR(
ORTHOMCL15425	lcl|VCAZ01000091.1_cds_TSR16036.1_16594_BAGAR(
ORTHOMCL15426	lcl|VCAZ01000092.1_cds_TSR27768.1_16722_BAGAR(
ORTHOMCL15427	lcl|VCAZ01000107.1_cds_TST10028.1_409_BAGAR(
ORTHOMCL15428	lcl|VCAZ01000118.1_cds_TSU50033.1_1357_BAGAR(
ORTHOMCL15429	lcl|VCAZ01000142.1_cds_TSX72097.1_2808_BAGAR(
ORTHOMCL15430	lcl|VCAZ01000145.1_cds_TSY13819.1_2892_BAGAR(
ORTHOMCL15431	lcl|VCAZ01000174.1_cds_TTC29625.1_3621_BAGAR(
ORTHOMCL15432	lcl|VCAZ01000190.1_cds_TTE66788.1_4756_BAGAR(
ORTHOMCL15433	lcl|VCAZ01000239.1_cds_TTM20195.1_6317_BAGAR(
ORTHOMCL15434	lcl|VCAZ01000298.1_cds_TTV75072.1_7865_BAGAR(
ORTHOMCL15435	lcl|VCAZ01000308.1_cds_TTX39224.1_8637_BAGAR(
ORTHOMCL15436	lcl|VCAZ01000475.1_cds_TUZ58323.1_11365_BAGAR(
ORTHOMCL15437	maker-utg000035l_pilon-augustus-gene-6.3-mRNA-1_PANGA(
ORTHOMCL15438	maker-utg000036l_pilon-augustus-gene-7.13-mRNA-1_PANGA(
ORTHOMCL15439	maker-utg000167l_pilon-augustus-gene-1.33-mRNA-1_PANGA(
ORTHOMCL15440	maker-utg000239l_pilon-augustus-gene-1.17-mRNA-1_PANGA(
ORTHOMCL15441	rna-XM_017450011.1_ICTAL(
ORTHOMCL15442	rna-XM_017451139.1_ICTAL(
ORTHOMCL15443	rna-XM_017461955.1_ICTAL(
ORTHOMCL15444	rna-XM_017462459.1_ICTAL(
ORTHOMCL15445	rna-XM_017462470.1_ICTAL(
ORTHOMCL15446	rna-XM_017462523.1_ICTAL(
ORTHOMCL15447	rna-XM_017467348.1_ICTAL(
ORTHOMCL15448	rna-XM_017473845.1_ICTAL(
ORTHOMCL15449	rna-XM_017487911.1_ICTAL(
ORTHOMCL15450	rna-XM_017490438.1_ICTAL(
ORTHOMCL15451	rna-XM_017491202.1_ICTAL(
ORTHOMCL15452	rna-XM_027140122.1_TACHY(
ORTHOMCL15453	rna-XM_027135012.1_TACHY(
ORTHOMCL15454	rna-XM_027136223.1_TACHY(
ORTHOMCL15455	rna-XM_027137308.1_TACHY(
ORTHOMCL15456	rna-XM_027138173.1_TACHY(
ORTHOMCL15457	rna-XM_027139035.1_TACHY(
